Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty,Fixed
sri_lanka,elephant_rock,6.80431318283081,81.82582855224610,Point break,Right,Sand & Rock,Beginners,N
sri_lanka,hanas_surf_spot,5.97484779357910,80.35511016845703,Reef break,Right & left,Sand & Rock,Intermediate surfer,N
sri_lanka,hikkaduwa,6.13236236572266,80.09307861328125,Reef break,Right,Coral reef,Beginners,N
sri_lanka,maddawatta,5.93869209289551,80.57026672363281,Beach break,Right & left,Sand,Intermediate surfer,N
sri_lanka,madiha,5.94389963150024,80.61767578125000,Reef break,Right & left,Sand & Rock,Intermediate surfer,N
sri_lanka,midigama_left,5.95999145507812,80.39015960693360,Point break,Left,Coral reef,Beginners,N
sri_lanka,midigama_right,5.96140003204346,80.38613891601562,Reef break,Right,Coral reef,Intermediate surfer,N
sri_lanka,the_peak_surf_point_habaraduwa,5.92204475402832,80.32653808593750,Reef break,Right & left,Sand & Rock,Intermediate surfer,N
sri_lanka,unawtuna,6.00228881835938,80.24371337890625,Reef break,Left,Coral reef,Advanced surfer,N
sri_lanka,weligama,5.95824146270752,80.43648529052734,Beach break,Right & left,Sand,Beginners,N
sri_lanka,whiskey_point,6.90623283386230,81.84640502929688,Point break,Right,Sand,Intermediate surfer,N
taiwan,jinzun,22.95497512817383,121.29553985595703,Point break,Right & left,Rocky reef,Intermediate surfer,N
taiwan,nanti,24.86432266235352,121.83737182617188,Beach break,Right & left,Sand,Intermediate surfer,N
taiwan,shuangshi_(double_lion),24.88871383666992,121.84970855712890,Beach break,Right & left,Sand,Beginners,N
taiwan,smelly_water,24.85687446594238,121.83274841308594,Point break,Left,Sand,Intermediate surfer,N
taiwan,waiou,24.88327026367188,121.84644317626953,Point break,Right & left,Sand & Rock,Intermediate surfer,N
taiwan,wushi,24.87201118469238,121.84088134765625,Beach break,Right & left,Sand,Beginners,N
thailand,aow_yai,9.71836280822754,98.38471221923828,Beach break,Right & left,Sand,Beginners,N
thailand,cape_pakarang,8.73307704925537,98.20404052734375,Reef break,Right & left,Sand & Rock,Intermediate surfer,N
thailand,kata_beach,7.82188796997070,98.29536437988281,Beach break,Right & left,Sand,Beginners,N
thailand,koh_lanta,7.61571979522705,99.01977539062500,Beach break,Right & left,Sand,Beginners,N
thailand,mae_ramphung_beach_rayong,12.59335041046143,101.41371917724610,Reef break,Right & left,Sand,Beginners,N
australia,avoca_beach,-33.46526718139648,151.43394470214844,Point break,Right & left,Sand,Intermediate surfer,N
australia,shelly_beach,-33.37343215942383,151.48670959472656,Beach break,Right & left,Sand,Beginners,N
australia,terrigal_haven,-33.44633865356445,151.45027160644530,Point break,Right,Rocky reef,Intermediate surfer,N
australia,bombo_beach,-34.65806198120117,150.85833740234375,Beach break,Right & left,Sand,Beginners,N
australia,boneyards,-34.67839431762695,150.87524414062500,Reef break,Right,Boulders,Intermediate surfer,N
australia,cowries,-34.57585906982422,150.87413024902344,Reef break,Right,Rocky reef,Intermediate surfer,N
australia,durras_north_,-35.63916015625000,150.31155395507812,Beach break,Right & left,Sand,Intermediate surfer,N
australia,east_corrimal_,-34.37717437744141,150.92263793945312,Beach break,Right & left,Sand,Intermediate surfer,N
australia,gerringong,-34.74894714355469,150.83404541015625,Beach break,Right & left,Sand,Beginners,N
australia,golf_course,-35.34404373168945,150.48098754882812,Reef break,Left,Rocky reef,Beginners,N
australia,kiama_wedge,-34.67465209960938,150.85661315917970,Reef break,Right & left,Sand & Rock,Beginners,N
australia,mads,-34.56233215332031,150.87498474121094,Reef break,Left,Rocky reef,Intermediate surfer,N
australia,mcalueys_,-34.55951690673828,150.87115478515625,Beach break,Right & left,Rocky reef,Unknown,N
australia,mystics,-34.61936569213867,150.85568237304688,Beach break,Right & left,Sand,Intermediate surfer,N
australia,oilies,-34.45074844360352,150.90127563476562,Breakwater / groyne,Right,Sand & Rock,Intermediate surfer,N
australia,pool_point,-34.58004760742188,150.87713623046875,Reef break,Right,Rocky reef,Intermediate surfer,N
australia,port_reef,-34.49390411376953,150.91004943847656,Reef break,Left,Sand & Rock,Intermediate surfer,N
australia,red_sand,-34.59315109252930,150.88771057128906,Reef break,Right,Rocky reef,Advanced surfer,N
australia,reef,-34.33318710327148,150.92713928222656,Reef break,Right & left,Coral reef,Intermediate surfer,N
australia,sandon_point,-34.32841110229492,150.92984008789062,Reef break,Right,Rocky reef,Advanced surfer,N
australia,shitties,-34.44109725952148,150.90112304687500,Beach break,Right & left,Sand & Rock,Intermediate surfer,N
australia,shoalhaven_heads_main_beach,-34.85115051269531,150.75057983398438,Beach break,Right & left,Sand,Intermediate surfer,N
australia,the_farm,-34.60707473754883,150.86941528320312,Beach break,Right & left,Sand,Beginners,N
australia,the_farm_-_killela_state_park_,-34.60369873046875,150.86784362792970,Beach break,Right & left,Sand & Rock,Intermediate surfer,N
australia,the_shallows,-34.59130477905273,150.87739562988280,Reef break,Right & left,Rocky reef,Intermediate surfer,N
australia,warilla_beach,-34.54898452758789,150.87387084960938,Beach break,Right & left,Sand,Intermediate surfer,N
australia,wollongong_north_beach,-34.40690994262695,150.84228515625000,Beach break,Right & left,Sand,Beginners,N
australia,crescent_head,-31.18460845947266,152.99217224121094,Point break,Right,Sand & Rock,Intermediate surfer,N
australia,flynns_beach,-31.44239425659180,152.92964172363280,Beach break,Right & left,Sand,Beginners,N
australia,grassy_head,-30.79537773132324,153.01037597656250,Point break,Right & left,Boulders,Beginners,N
australia,horseshoe_bay,-30.87335014343262,153.06718444824220,Point break,Right,Sand & Rock,Beginners,N
australia,middle_rock,-31.56405639648438,152.85197448730470,Reef break,Left,Unknown,Intermediate surfer,N
australia,north_wall,-31.42313385009766,152.91659545898438,Beach break,Right & left,Sand & Rock,Beginners,N
australia,point_plomer,-31.27503013610840,152.98220825195312,Reef break,Right,Boulders,Beginners,N
australia,scotts_head,-30.74257278442383,153.00247192382812,Point break,Right,Sand,Beginners,N
australia,1_mile,-32.77846908569336,152.11703491210938,Point break,Right,Sand,Intermediate surfer,N
australia,bar_beach,-32.94205856323242,151.76707458496094,Beach break,Right & left,Sand & Rock,Intermediate surfer,N
australia,cowrie_hole,-32.92871475219727,151.79202270507812,Reef break,Right,Rocky reef,Advanced surfer,N
australia,dixon_park_beach,-32.94692230224609,151.76161193847656,Beach break,Right & left,Sand,Intermediate surfer,N
australia,merewether_beach,-32.95912933349609,151.74891662597656,Reef break,Right,Rocky reef,Intermediate surfer,N
australia,newie_harbour,-32.91418075561523,151.81388854980470,Reef break,Right,Rocky reef,Advanced surfer,N
australia,newy_beach,-32.93006515502930,151.78704833984375,Beach break,Right & left,Sand & Rock,Advanced surfer,N
australia,rixon_beach,-32.87497329711914,151.87500000000000,Point break,Right & left,Sand,Intermediate surfer,N
australia,south_bar,-32.95070266723633,151.75801086425780,Beach break,Right & left,Sand,Intermediate surfer,N
australia,stockton_beach,-32.90279388427734,151.78874206542970,Beach break,Right & left,Sand & Rock,Advanced surfer,N
australia,the_cliff,-32.94462585449219,151.76557922363280,Beach break,Right & left,Sand,Beginners,N
australia,angourie_point,-29.48383903503418,153.37188720703125,Point break,Right,Boulders,Intermediate surfer,N
australia,backs,-29.48667716979980,153.36604309082030,Reef break,Right,Boulders,Beginners,N
australia,lennox_head,-28.80978393554688,153.62182617187500,Point break,Right,Rocky reef,Advanced surfer,N
australia,razors,-29.43797111511230,153.37278747558594,Reef break,Right,Coral reef,Advanced surfer,N
australia,spot_x,-28.83546257019043,153.60620117187500,Beach break,Right & left,Sand & Rock,Intermediate surfer,N
australia,tallows,-28.65074539184570,153.63354492187500,Beach break,Right & left,Sand,Beginners,N
australia,the_pass,-28.63333702087402,153.62542724609375,Point break,Right,Sand & Rock,Intermediate surfer,N
australia,the_wreck,-28.63882446289062,153.61395263671875,Beach break,Right & left,Sand & Rock,Beginners,N
australia,turners,-29.43550491333008,153.36430358886720,Point break,Right & left,Sand,Beginners,N
australia,wategos,-28.63566398620605,153.63427734375000,Beach break,Right,Sand & Rock,Intermediate surfer,N
australia,broulee_north_beach,-35.84829330444336,150.17709350585938,Beach break,Right & left,Sand,Beginners,N
australia,broulee_south_beach,-35.86651611328125,150.16354370117188,Beach break,Left,Sand,Intermediate surfer,N
australia,swifties,-36.17689514160156,150.13276672363280,Reef break,Right,Rocky reef,Advanced surfer,N
australia,boxhead,-33.54079818725586,151.33032226562500,Rivermouth,Left,Sand,Advanced surfer,N
australia,bungan_beach,-33.66778182983398,151.32087707519530,Beach break,Right & left,Sand,Intermediate surfer,N
australia,curl_curl,-33.77286911010742,151.29890441894530,Beach break,Right & left,Sand & Rock,Beginners,N
australia,dee_why,-33.75785064697266,151.30297851562500,Beach break,Right & left,Sand,Beginners,N
australia,dee_why_point,-33.75424575805664,151.29949951171875,Reef break,Right,Rocky reef,Advanced surfer,N
australia,dontals,-33.74328994750977,151.32067871093750,Reef break,Right & left,Rocky reef,Intermediate surfer,N
australia,fairy_bower_-_the_bower,-33.79819488525391,151.29804992675780,Reef break,Right,Boulders,Advanced surfer,N
australia,freshwater_beach,-33.78421401977539,151.29341125488280,Beach break,Right & left,Sand,Intermediate surfer,N
australia,little_avalon,-33.63919067382812,151.33297729492188,Reef break,Right,Sand & Rock,Advanced surfer,N
australia,long_reef,-33.74468231201172,151.30740356445312,Reef break,Right & left,Sand & Rock,Beginners,N
australia,manly_beach,-33.79469680786133,151.29306030273438,Beach break,Right & left,Sand,Beginners,N
australia,north_narrabeen_point,-33.70563507080078,151.31126403808594,Point break,Left,Rocky reef,Advanced surfer,N
australia,saffa_matts,-33.75061035156250,151.29890441894530,Beach break,Right & left,Sand,Intermediate surfer,N
australia,shellys_beach,-33.79962158203125,151.29704284667970,Reef break,Right,Coral reef,Intermediate surfer,N
australia,south_narrabeen,-33.72662353515625,151.30541992187500,Beach break,Right & left,Sand,Intermediate surfer,N
australia,the_wedge,-33.60798645019531,151.33352661132812,Reef break,Left,Sand & Rock,Intermediate surfer,N
australia,winki,-33.79985809326172,151.29905700683594,Reef break,Right,Boulders,Advanced surfer,N
australia,bay_surf,-34.07463073730469,151.14514160156250,Rivermouth,Right,Sand,Beginners,N
australia,bommies_bay,-33.91582107543945,151.26275634765625,Reef break,Right & left,Coral reef,Advanced surfer,N
australia,bondi_beach,-33.89378356933594,151.27508544921875,Beach break,Right,Sand,Intermediate surfer,N
australia,cronulla_point,-34.05680084228516,151.15798950195312,Reef break,Right,Rocky reef,Advanced surfer,N
australia,green_hills,-34.04119110107422,151.16629028320312,Beach break,Right & left,Sand,Beginners,N
australia,maroubra,-33.99347305297852,151.22680664062500,Beach break,Right & left,Sand,Intermediate surfer,N
australia,shark_island,-34.05941390991211,151.15977478027344,Reef break,Right,Rocky reef,Advanced surfer,N
australia,the_wall,-34.04960250854492,151.15866088867188,Beach break,Right & left,Sand,Beginners,N
